
Image Name                     PID Session Name        Session#    Mem Usage
PhoneExperienceHost.exe      23588 Console                    1     20,032 K
RuntimeBroker.exe            21880 Console                    1      4,344 K
msedge.exe                   34016 Console                    1     47,164 K
msedge.exe                    8072 Console                    1      4,640 K
msedge.exe                   35004 Console                    1     10,456 K
msedge.exe                   31652 Console                    1     20,144 K
msedge.exe                   27732 Console                    1      4,204 K
msedge.exe                   29224 Console                    1      4,676 K
msedge.exe                    7976 Console                    1      9,024 K
cmd.exe                       9552 Console                    1      1,308 K
conhost.exe                    600 Console                    1      3,136 K
BrHostHelper.exe             34092 Console                    1      8,500 K
svchost.exe                  21220 Services                   0     15,480 K
Microsoft.Photos.exe         32692 Console                    1     17,380 K
RuntimeBroker.exe            23968 Console                    1     21,368 K
svchost.exe                  24624 Services                   0      3,408 K
svchost.exe                   4024 Services                   0      5,040 K
Teams.exe                    10128 Console                    1     69,224 K
Teams.exe                    23820 Console                    1     83,816 K
Teams.exe                    34828 Console                    1     22,288 K
Teams.exe                    28892 Console                    1     10,176 K
Teams.exe                    24880 Console                    1    174,368 K
Teams.exe                    12244 Console                    1      7,508 K
Teams.exe                     3320 Console                    1     40,100 K
Teams.exe                     5756 Console                    1     53,156 K
Zoom.exe                     13584 Console                    1     37,452 K
svchost.exe                  30736 Services                   0     11,592 K
zWebview2Agent.exe           32732 Console                    1      5,192 K
msedgewebview2.exe           33168 Console                    1     42,200 K
msedgewebview2.exe           35932 Console                    1      4,884 K
msedgewebview2.exe           16980 Console                    1     16,200 K
msedgewebview2.exe           23312 Console                    1     17,424 K
msedgewebview2.exe           35560 Console                    1      6,660 K
msedgewebview2.exe           11016 Console                    1     18,780 K
Zoom.exe                     25832 Console                    1     34,532 K
SystemSettings.exe           15108 Console                    1     55,388 K
WhatsApp.exe                  3812 Console                    1     66,596 K
WhatsApp.exe                 18500 Console                    1    194,576 K
WhatsApp.exe                 35648 Console                    1     17,468 K
WhatsApp.exe                 27800 Console                    1      5,016 K
WhatsApp.exe                 13932 Console                    1    178,048 K
WhatsApp.exe                 21804 Console                    1     11,400 K
MsMpEng.exe                  12692 Services                   0    157,764 K
NisSrv.exe                   35852 Services                   0      9,352 K
Calculator.exe               30788 Console                    1      2,988 K
RuntimeBroker.exe            24276 Console                    1     17,656 K
Teams.exe                     3412 Console                    1    782,468 K
WmiPrvSE.exe                 25464 Services                   0     19,992 K
svchost.exe                  26992 Services                   0      8,344 K
svchost.exe                  10144 Services                   0      6,000 K
WhatsApp.exe                 23480 Console                    1     31,832 K
notepad.exe                  34844 Console                    1     18,392 K
svchost.exe                   3944 Services                   0      8,236 K
svchost.exe                   1096 Services                   0      8,176 K
